"ID","task","dishwasher_choice_1","dishwasher_choice_2","dishwasher_choice_3","dishwasher_choice_4","dishwasher_choice_5","dishwasher_choice_6","dishwasher_choice_7","dishwasher_choice_8","dishwasher_choice_9","dishwasher_choice_10","dishwasher_choice_11","dishwasher_choice_12","dishwasher_choice_13","dishwasher_choice_14","speaker_choice_1","speaker_choice_2","speaker_choice_3","speaker_choice_4","speaker_choice_5","speaker_choice_6","speaker_choice_7","speaker_choice_8","speaker_choice_9","speaker_choice_10","speaker_choice_11","speaker_choice_12","speaker_choice_13","speaker_choice_14","induction_choice_1","induction_choice_2","induction_choice_3","induction_choice_4","induction_choice_5","induction_choice_6","induction_choice_7","induction_choice_8","induction_choice_9","induction_choice_10","induction_choice_11","induction_choice_12","induction_choice_13","induction_choice_14","social_dist_rating._1","social_dist_rating._2","social_dist_rating._3","social_dist_rating._4","social_dist_rating._5","social_dist_rating._6","social_dist_rating._7","social_dist_rating._8","social_dist_rating._9","social_dist_rating._10","social_dist_rating._11","social_dist_rating._12","social_dist_rating._13","social_dist_rating._14","attention_check","attention_check_filter","why","age","country_of_birth","country_of_residence","employment","first_language","sex","student"
"R_3dFn2vOuKx9fb4U","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","P","P","P","P","P","P",6,6,6,6,6,6,2,3,1,5,5,6,4,3,"An induction cooktop",1,"I just based it on what I found easier and assumed this would suit most people",22,"United Kingdom","United Kingdom","DATA EXPIRED","English","Male","DATA EXPIRED"
"R_24Pi8bYI7oWqM73","dishwasher","P","P","T","T","T","P","T","T","P","P","P","T","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,7,6,1,4,1,6,6,3,3,1,"A dishwasher",1,"I chose text for people I probably know better, so not to make them feel patronised. To be honest though, I think I would probably use both text and picture for everyone.",40,"Germany","United Kingdom","Part-Time","English","Male","No"
"R_2dFri29LZzCMa1K","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","T","T","T","P","P","P","P","P","T","T","P","T","P",6,5,4,3,3,3,1,2,1,4,4,4,3,2,"An induction cooktop",1,"I decided to give the picture instructions to people I felt closer to, or who I felt would understand them easily. I gave the text instructions to people who I have a more formal relationship with.",21,"United Kingdom","United Kingdom","Full-Time","English","Female","Yes"
"R_To1t40ucxSb49y1","dishwasher","P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,4,4,6,2,4,1,4,5,5,3,2,"A dishwasher",1,"I would give everyone picture instructions as they are less likely to be misinterpreted by anyone, regardless of their connection to me.",37,"United Kingdom","United Kingdom","Full-Time","English","Female","No"
"R_3oZRaj1MsW0Up7O","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,2,2,6,2,3,2,3,4,6,6,3,"A bluetooth speaker",1,"I decided that All would be best with the picture instructions as text can be easily misinterpreted pictures are universally understood I think.",42,"United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","Male","DATA EXPIRED"
"R_2EAUgbWHuroTSJp","dishwasher","T","P","P","T","T","P","T","T","T","T","P","P","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,3,2,7,2,3,1,4,4,5,3,2,"A dishwasher",1,"I mainly gave picture instructions to those I wouldn't consider myself close with, and I gave text instructions to those I felt closer to. The picture instructions feel more anonymous and for some reason the text instructions feel more personal. The text instructions also take more energy and time to make so I feel like I'd only want to expend that energy on someone I'm closer to.",23,"United Kingdom","United Kingdom","DATA EXPIRED","English","Female","DATA EXPIRED"
"R_UDwrRjkK9swC1EJ","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,4,3,4,2,3,1,2,3,4,4,2,"A bluetooth speaker",1,"I found the pictures were better in all cases as they were easier to understand",30,"Germany","United Kingdom","Full-Time","English","Male","No"
"R_28TzFXgUoqAshkJ","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","T","T","P","P","P","T","T","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,5,3,6,2,4,2,5,7,7,5,2,"A bluetooth speaker",1,"Non technical people would enjoy the pictures rather than reading where technical people could read and understand easily.",45,"South Africa","South Africa","DATA EXPIRED","English","Male","DATA EXPIRED"
"R_27HDhA6S69hReit","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","P","P","P","T","P","T","T","P","P","P","P","P","T",4,7,4,2,1,6,1,2,1,3,6,7,3,1,"An induction cooktop",1,"Those who are closer to me have most likely been in my home before or have at least talked with me about the amenities of my home. I feel more comfortable giving those people text instructions. To those I have never met or are relatively new in my life, it would be much more convenient and make them feel more comfortable if they could physically see how to turn things on in the home.",38,"United States","United States","DATA EXPIRED","English","Male","No"
"R_6yz5IsX0E2dMU25","dishwasher","P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,4,3,5,1,1,1,2,4,5,5,2,"A dishwasher",1,"I personally think the pictures are clearer and faster to understand so I have given those to everyone. I would give everyone both if i could",21,"United Kingdom","United Kingdom","Unemployed (and job seeking)","English","Female","Yes"
"R_4PxNcmGoYbS2i9b","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,5,4,7,2,4,1,2,5,6,3,2,"A bluetooth speaker",1,"the picture one was best for everyone - clear, concise, and showed exactly where the relevant part was and how it worked",60,"Jersey","United Kingdom","Part-Time","English","Female","No"
"R_3MAVdsbJ8SPPJTj","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","T","P","P","T","P","T","T","T","T","T","P","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,3,3,4,1,2,1,3,4,5,4,1,"A bluetooth speaker",1,"Instructions seem a bit condescending to people you know well, like you think they're stupid. To someone you don't know well they seem professional.",27,"United Kingdom","United Kingdom","Full-Time","English","Male","Yes"
"R_1LGMHWgXd3VoZmG","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","P","P","P","P","P","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,3,6,7,3,3,4,4,6,6,6,3,"A bluetooth speaker",1,"I thought about which was best and quickest to communicate",51,"United Kingdom","United Kingdom","Other","English","Male","Yes"
"R_b2SHaQK44I9wAEx","cooktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","P","P","P","P","P","P","T","P","P","P","P","P",5,4,4,3,2,5,1,2,1,3,4,7,5,2,"An induction cooktop",1,"Which one seemed clearer to me, reading the text and looking at the pictures. Also, some people struggle knowing their left and right.",22,"United Kingdom","United Kingdom","DATA EXPIRED","English","Female","DATA EXPIRED"
"R_31KPWeRUmIFwoRe","speaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T","T","T","T","T","T","T","T","T","T","T","T","T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,7,3,7,6,7,6,5,4,3,6,"A bluetooth speaker",1,"I would probably just use a pen and paper and write the instructions down. I wouldn't be able to draw the detailed pictures or know where to find them or want to print them like that. Therefore I would always leave the word instructions irrelavent of the person",34,"United Kingdom","United Kingdom","DATA EXPIRED","English","Female","DATA EXPIRED"
